"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SPDT-100";1;"SW_SPDT";;;
2;"U6";"Nokia5110";1;"Nokia5110";;;
3;"U5";"SO-8_5.3x6.2mm_Pitch1.27mm";1;"MAX4460ESA+";;;
4;"BT1";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Battery";;;
5;"C1,C4";"CP_Radial_D5.0mm_P2.00mm";2;"10u";;;
6;"C2,C3,C5,C10,C11,C12,C13,C14,C16,C17,C18";"C_0805_HandSoldering";11;"100n";;;
7;"C6,C7";"C_0805_HandSoldering";2;"18p";;;
8;"C8,C9";"C_0805_HandSoldering";2;"4.7u";;;
9;"C15,C19";"C_0805_HandSoldering";2;"1u";;;
10;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
11;"J1";"USB_Micro_B_Female_10118193-0001LF";1;"USB_B_Micro";;;
12;"J2";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"6P Male";;;
13;"J3";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Conn_01x03_Male";;;
14;"Q1";"TO-92_Inline_Wide";1;"2N3904";;;
15;"R1,R2";"R_0805_HandSoldering";2;"10k";;;
16;"R3,R4";"R_0805_HandSoldering";2;"8.2k";;;
17;"R5,R6";"R_0805_HandSoldering";2;"270k";;;
18;"R7,R13,R14,R15,R16,R17,R18";"R_0805_HandSoldering";7;"1k";;;
19;"R8";"R_0805_HandSoldering";1;"1.8k";;;
20;"R9,R19";"R_0805_HandSoldering";2;"100k";;;
21;"R10";"R_0805_HandSoldering";1;"2.7k";;;
22;"R11";"R_0805_HandSoldering";1;"820";;;
23;"R12";"R_0805_HandSoldering";1;"330";;;
24;"TH1";"TO-92-2pin_Inline_Narrow_Oval";1;"PT1000";;;
25;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
26;"U2";"LQFP-64_10x10mm_Pitch0.5mm";1;"STM32F411RETx";;;
27;"U3";"LIS3DH";1;"lis3dh_board";;;
28;"U4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Pulse_sensor";;;
29;"U7";"Piezo";1;"piezo";;;
30;"U8,U9,U10,U11";"Momentswitch";4;"MomentSwitch";;;
31;"Y1";"Crystal_SMD_HC49-SD_HandSoldering";1;"8MHz";;;
32;"C20,C21,C22";"C_0805_HandSoldering";3;"C";;;
